"box","month","year","pollen","bird"
1,12,2011,13,42
1,1,2012,19,9
1,2,2012,44,5
1,3,2012,76,6
1,4,2012,48,15
1,5,2012,24,8
1,6,2012,23,5
1,7,2012,17,26
1,8,2012,19,19
1,9,2012,26,30
1,10,2012,26,41
1,11,2012,24,28
1,12,2012,20,25
1,1,2013,41,7
1,2,2013,46,85
1,3,2013,53,20
1,4,2013,50,154
1,5,2013,31,67
1,6,2013,24,35
1,7,2013,28,34
1,8,2013,24,99
1,9,2013,26,57
1,10,2013,30,116
1,11,2013,23,6
1,12,2013,19,0
1,1,2014,22,13
1,2,2014,46,11
1,3,2014,92,181
1,4,2014,65,136
1,5,2014,38,18
1,6,2014,23,28
1,7,2014,21,90
1,8,2014,20,48
1,9,2014,20,42
1,10,2014,25,82
1,11,2014,18,3
1,12,2014,22,10
1,1,2015,30,2
1,2,2015,41,104
1,3,2015,92,6
1,4,2015,53,69
1,5,2015,40,65
1,6,2015,26,35
1,7,2015,21,123
1,8,2015,19,124
1,9,2015,22,167
1,10,2015,27,153
1,11,2015,24,213
1,12,2015,17,1
1,1,2016,18,74
1,2,2016,40,38
1,3,2016,94,87
1,4,2016,63,121
1,5,2016,32,189
1,6,2016,20,108
1,7,2016,17,6
1,8,2016,16,87
1,9,2016,21,121
1,10,2016,24,127
1,11,2016,24,70
1,12,2016,21,46
2,1,2004,0,0
2,2,2004,0,0
2,3,2004,5,0
2,4,2004,45,16
2,5,2004,4,42
2,6,2004,11,41
2,7,2004,8,38
2,8,2004,10,36
2,9,2004,6,23
2,10,2004,10,0
2,11,2004,3,0
2,12,2004,0,0
2,1,2005,3,0
2,2,2005,5,0
2,3,2005,10,0
2,4,2005,29,24
2,5,2005,5,50
2,6,2005,8,54
2,7,2005,2,53
2,8,2005,4,44
2,9,2005,12,31
2,10,2005,9,0
2,11,2005,2,0
2,12,2005,4,0
2,1,2006,0,0
2,2,2006,3,0
2,3,2006,7,0
2,4,2006,30,3
2,5,2006,15,3
2,6,2006,9,2
2,7,2006,4,1
2,8,2006,8,1
2,9,2006,4,0
2,10,2006,5,0
2,11,2006,1,0
2,12,2006,4,0
2,1,2007,1,0
2,2,2007,2,0
2,3,2007,28,0
2,4,2007,26,2
2,5,2007,3,4
2,6,2007,4,8
2,7,2007,5,0
2,8,2007,3,2
2,9,2007,6,4
2,10,2007,5,0
2,11,2007,4,0
2,12,2007,4,0
2,1,2008,5,0
2,2,2008,3,0
2,3,2008,12,0
2,4,2008,29,1
2,5,2008,20,5
2,6,2008,7,7
2,7,2008,5,0
2,8,2008,4,2
2,9,2008,7,14
2,10,2008,9,5
2,11,2008,3,0
2,12,2008,3,0
2,1,2009,2,0
2,2,2009,7,0
2,3,2009,15,0
2,4,2009,34,7
2,5,2009,17,6
2,6,2009,10,7
2,7,2009,5,7
2,8,2009,9,3
2,9,2009,5,5
2,10,2009,5,0
2,11,2009,4,0
2,12,2009,4,0
2,1,2010,5,0
2,2,2010,4,0
2,3,2010,13,0
2,4,2010,100,43
2,5,2010,22,79
2,6,2010,6,36
2,7,2010,5,56
2,8,2010,6,117
2,9,2010,10,113
2,10,2010,6,18
2,11,2010,4,0
2,12,2010,5,0
2,1,2011,12,0
2,2,2011,11,0
2,3,2011,30,0
2,4,2011,41,111
2,5,2011,19,97
2,6,2011,10,118
2,7,2011,4,98
2,8,2011,8,173
2,9,2011,9,180
2,10,2011,9,26
2,11,2011,4,0
2,12,2011,5,0
2,1,2012,5,0
2,2,2012,12,0
2,3,2012,51,0
2,4,2012,36,6
2,5,2012,19,14
2,6,2012,10,10
2,7,2012,8,57
2,8,2012,7,58
2,9,2012,11,85
2,10,2012,9,7
2,11,2012,8,0
2,12,2012,7,0
2,1,2013,7,0
2,2,2013,9,0
2,3,2013,16,0
2,4,2013,72,177
2,5,2013,24,248
2,6,2013,11,124
2,7,2013,6,76
2,8,2013,8,327
2,9,2013,15,176
2,10,2013,7,3
2,11,2013,7,0
2,12,2013,8,0
2,1,2014,6,0
2,2,2014,10,0
2,3,2014,21,0
2,4,2014,69,205
2,5,2014,33,70
2,6,2014,9,74
2,7,2014,6,283
2,8,2014,7,162
2,9,2014,10,90
2,10,2014,7,3
2,11,2014,5,0
2,12,2014,7,0
2,1,2015,8,0
2,2,2015,6,0
2,3,2015,24,0
2,4,2015,67,109
2,5,2015,28,218
2,6,2015,10,120
2,7,2015,8,410
2,8,2015,7,465
2,9,2015,12,391
2,10,2015,7,82
2,11,2015,6,26
2,12,2015,8,0
2,1,2016,5,0
2,2,2016,7,0
2,3,2016,45,1
2,4,2016,43,215
2,5,2016,23,399
2,6,2016,9,246
2,7,2016,8,12
2,8,2016,7,312
2,9,2016,9,268
2,10,2016,9,79
2,11,2016,5,0
2,12,2016,6,0
3,1,2004,0,0
3,2,2004,0,0
3,3,2004,51,0
3,4,2004,0,0
3,5,2004,36,24
3,6,2004,0,7
3,7,2004,0,32
3,8,2004,40,21
3,9,2004,0,7
3,10,2004,37,0
3,11,2004,0,0
3,12,2004,0,0
3,1,2005,0,0
3,2,2005,0,0
3,3,2005,25,0
3,4,2005,0,0
3,5,2005,0,33
3,6,2005,31,30
3,7,2005,0,19
3,8,2005,0,28
3,9,2005,25,22
3,10,2005,0,0
3,11,2005,24,0
3,12,2005,22,0
3,1,2006,0,0
3,2,2006,0,0
3,3,2006,18,0
3,4,2006,96,0
3,5,2006,18,15
3,6,2006,58,11
3,7,2006,0,13
3,8,2006,18,22
3,9,2006,17,3
3,10,2006,15,0
3,11,2006,15,0
3,12,2006,0,0
3,1,2007,0,0
3,2,2007,14,0
3,3,2007,13,0
3,4,2007,27,0
3,5,2007,25,29
3,6,2007,15,20
3,7,2007,0,5
3,8,2007,14,14
3,9,2007,39,6
3,10,2007,12,0
3,11,2007,0,0
3,12,2007,11,0
3,1,2008,11,0
3,2,2008,21,0
3,3,2008,0,0
3,4,2008,21,0
3,5,2008,51,29
3,6,2008,11,33
3,7,2008,0,19
3,8,2008,0,23
3,9,2008,20,11
3,10,2008,9,0
3,11,2008,10,0
3,12,2008,0,0
3,1,2009,9,0
3,2,2009,19,0
3,3,2009,17,0
3,4,2009,9,1
3,5,2009,63,29
3,6,2009,37,17
3,7,2009,18,6
3,8,2009,9,2
3,9,2009,9,3
3,10,2009,8,0
3,11,2009,0,0
3,12,2009,0,0
3,1,2010,8,0
3,2,2010,16,0
3,3,2010,29,0
3,4,2010,32,1
3,5,2010,9,106
3,6,2010,65,114
3,7,2010,27,110
3,8,2010,17,140
3,9,2010,25,69
3,10,2010,8,0
3,11,2010,8,0
3,12,2010,0,0
3,1,2011,14,0
3,2,2011,10,0
3,3,2011,14,0
3,4,2011,10,5
3,5,2011,45,223
3,6,2011,60,100
3,7,2011,30,103
3,8,2011,0,114
3,9,2011,51,89
3,10,2011,13,0
3,11,2011,22,0
3,12,2011,4,0
3,1,2012,8,0
3,2,2012,8,0
3,3,2012,31,0
3,4,2012,25,0
3,5,2012,20,47
3,6,2012,46,21
3,7,2012,12,29
3,8,2012,30,70
3,9,2012,15,58
3,10,2012,20,1
3,11,2012,7,1
3,12,2012,8,0
3,1,2013,19,0
3,2,2013,14,0
3,3,2013,10,0
3,4,2013,13,0
3,5,2013,47,283
3,6,2013,61,120
3,7,2013,13,63
3,8,2013,43,277
3,9,2013,19,81
3,10,2013,40,0
3,11,2013,10,0
3,12,2013,3,0
3,1,2014,6,0
3,2,2014,7,0
3,3,2014,9,0
3,4,2014,28,0
3,5,2014,38,78
3,6,2014,42,123
3,7,2014,7,248
3,8,2014,25,175
3,9,2014,14,45
3,10,2014,13,1
3,11,2014,14,0
3,12,2014,7,0
3,1,2015,13,0
3,2,2015,14,0
3,3,2015,19,0
3,4,2015,20,0
3,5,2015,100,364
3,6,2015,89,276
3,7,2015,29,353
3,8,2015,27,327
3,9,2015,32,127
3,10,2015,32,1
3,11,2015,15,0
3,12,2015,24,0
3,1,2016,24,0
3,2,2016,22,0
3,3,2016,28,0
3,4,2016,25,3
3,5,2016,52,472
3,6,2016,81,377
3,7,2016,26,19
3,8,2016,24,320
3,9,2016,31,156
3,10,2016,12,0
3,11,2016,0,3
3,12,2016,12,0
